ccg,loc22cdh,icb22cdh
02P,02P,QF7
99E,99E,QH8
02Q,02Q,QT1
00Q,00Q,QE1
00R,00R,QE1
00T,00T,QOP
09D,09D,QNX
00V,00V,QOP
02T,02T,QWO
04Y,04Y,QNC
99F,99F,QH8
00X,00X,QE1
02X,02X,QF7
11J,11J,QVV
06K,06K,QM7
01A,01A,QE1
03W,03W,QK1
02Y,02Y,QOQ
05D,05D,QNC
11M,11M,QR1
01F,01F,QYG
06N,06N,QM7
01D,01D,QOP
03F,03F,QOQ
06L,06L,QJG
11N,11N,QT6
01J,01J,QYG
04C,04C,QK1
99A,99A,QYG
06Q,06Q,QH8
06T,06T,QJG
03H,03H,QOQ
03K,03K,QOQ
05G,05G,QNC
99C,99C,QHM
00L,00L,QHM
00Y,00Y,QOP
10Q,10Q,QU9
10R,10R,QRL
03L,03L,QF7
01G,01G,QOP
03N,03N,QF7
11X,11X,QSL
05Q,05Q,QNC
01T,01T,QYG
00N,00N,QHM
99G,99G,QH8
01V,01V,QYG
01X,01X,QYG
05V,05V,QNC
01W,01W,QOP
05W,05W,QNC
00P,00P,QHM
07G,07G,QH8
02A,02A,QOP
03Q,03Q,QOQ
03R,03R,QWO
02E,02E,QYG
07H,07H,QM7
02G,02G,QE1
04V,04V,QK1
07K,07K,QJG
02H,02H,QOP
12F,12F,QYG
00F,13T,QHM
00G,13T,QHM
00H,13T,QHM
13T,13T,QHM
01H,01H,QHM
00W,14L,QOP
01M,14L,QOP
01N,14L,QOP
14L,14L,QOP
10M,15A,QU9
10N,15A,QU9
10W,15A,QU9
11D,15A,QU9
15A,15A,QU9
11H,15C,QUY
11T,15C,QUY
12A,15C,QUY
15C,15C,QUY
10H,14Y,QU9
10Y,14Y,QU9
14Y,14Y,QU9
02V,15F,QWO
03C,15F,QWO
03G,15F,QWO
15F,15F,QWO
02M,02M,QE1
01E,01E,QE1
01K,01K,QE1
15N,15N,QJK
99P,15N,QJK
99Q,15N,QJK
11E,92G,QOX
12D,92G,QOX
92G,92G,QOX
99N,92G,QOX
02N,36J,QWO
02R,36J,QWO
02W,36J,QWO
36J,36J,QWO
01C,27D,QYG
01R,27D,QYG
02D,27D,QYG
02F,27D,QYG
27D,27D,QYG
00D,84H,QHM
00J,84H,QHM
84H,84H,QHM
09F,97R,QNX
09P,97R,QNX
97R,97R,QNX
99K,97R,QNX
05F,18C,QGH
05J,18C,QGH
05T,18C,QGH
06D,18C,QGH
18C,18C,QGH
09C,91Q,QKS
09E,91Q,QKS
09J,91Q,QKS
09W,91Q,QKS
10A,91Q,QKS
10D,91Q,QKS
10E,91Q,QKS
91Q,91Q,QKS
99J,91Q,QKS
03T,71E,QJM
04D,71E,QJM
04Q,71E,QJM
71E,71E,QJM
99D,71E,QJM
06M,26A,QMM
06V,26A,QMM
06W,26A,QMM
06Y,26A,QMM
07J,26A,QMM
26A,26A,QMM
07M,93C,QMJ
07R,93C,QMJ
07X,93C,QMJ
08D,93C,QMJ
08H,93C,QMJ
93C,93C,QMJ
03D,42D,QOQ
03E,42D,QOQ
03M,42D,QOQ
42D,42D,QOQ
04E,52R,QT1
04H,52R,QT1
04K,52R,QT1
04L,52R,QT1
04M,52R,QT1
04N,52R,QT1
52R,52R,QT1
07N,72Q,QKK
07Q,72Q,QKK
08A,72Q,QKK
08K,72Q,QKK
08L,72Q,QKK
08Q,72Q,QKK
72Q,72Q,QKK
07V,36L,QWE
08J,36L,QWE
08P,36L,QWE
08R,36L,QWE
08T,36L,QWE
08X,36L,QWE
36L,36L,QWE
09L,92A,QXU
09N,92A,QXU
09Y,92A,QXU
92A,92A,QXU
99H,92A,QXU
00C,16C,QHM
00K,16C,QHM
00M,16C,QHM
16C,16C,QHM
09G,70F,QNX
09H,70F,QNX
09X,70F,QNX
70F,70F,QNX
04F,M1J4Y,QHG
06F,M1J4Y,QHG
06P,M1J4Y,QHG
M1J4Y,M1J4Y,QHG
05A,B2M3M,QWU
05H,B2M3M,QWU
05R,B2M3M,QWU
B2M3M,B2M3M,QWU
10C,D4U1Y,QNQ
10G,D4U1Y,QNQ
10T,D4U1Y,QNQ
11C,D4U1Y,QNQ
15D,D4U1Y,QNQ
99M,D4U1Y,QNQ
D4U1Y,D4U1Y,QNQ
10J,D9Y0V,QRL
10K,D9Y0V,QRL
10L,D9Y0V,QRL
10V,D9Y0V,QRL
10X,D9Y0V,QRL
11A,D9Y0V,QRL
D9Y0V,D9Y0V,QRL
03A,X2C4Y,QWO
03J,X2C4Y,QWO
X2C4Y,X2C4Y,QWO
07L,A3A8R,QMF
07T,A3A8R,QMF
08F,A3A8R,QMF
08M,A3A8R,QMF
08N,A3A8R,QMF
08V,A3A8R,QMF
08W,A3A8R,QMF
A3A8R,A3A8R,QMF
07P,W2U3Z,QRV
07W,W2U3Z,QRV
07Y,W2U3Z,QRV
08C,W2U3Z,QRV
08E,W2U3Z,QRV
08G,W2U3Z,QRV
08Y,W2U3Z,QRV
09A,W2U3Z,QRV
W2U3Z,W2U3Z,QRV
05N,M2L0M,QOC
05X,M2L0M,QOC
M2L0M,M2L0M,QOC
04X,15E,QHL
05P,15E,QHL
13P,15E,QHL
15E,15E,QHL
05C,D2P2L,QUA
05L,D2P2L,QUA
05Y,D2P2L,QUA
06A,D2P2L,QUA
D2P2L,D2P2L,QUA
06H,06H,QUE
03X,15M,QJ2
03Y,15M,QJ2
04J,15M,QJ2
04R,15M,QJ2
15M,15M,QJ2
03V,78H,QPM
04G,78H,QPM
78H,78H,QPM
01Y,01Y,QOP
